Frame Attached,Frame Detached,Average Eccentricity,Average Size,Average Horizontal Location,Average Vertical Location,rolling?,Starting Vertical Position,Starting Horizontal Position,Final Vertical Position,Final Horizontal Position
2,7,0.530050182,108,111.620475,157.8099786,no,111.4925373,158.0298507,111.592233,157.5825243
2,2,0.91098195,93,152.7634409,795.8387097,no,152.7634409,795.8387097,152.7634409,795.8387097
2,2,0.437327038,150,934.9533333,553.9,no,934.9533333,553.9,934.9533333,553.9
3,3,0.850975191,130,680.1307692,757.8307692,no,680.1307692,757.8307692,680.1307692,757.8307692
5,5,0.870293467,92,739.0543478,456.3804348,no,739.0543478,456.3804348,739.0543478,456.3804348
6,7,0.569113262,186,285.0099328,1008.100342,yes,283.7164948,1009.329897,286.3033708,1006.870787
6,6,0.719019116,182,380.021978,1073.137363,no,380.021978,1073.137363,380.021978,1073.137363
8,8,0.614703831,97,927.8762887,303.7628866,no,927.8762887,303.7628866,927.8762887,303.7628866
9,11,0.898827586,75,452.45,270.01,yes,453.44,271.06,451.46,268.96
16,16,0.789835589,99,173.8585859,1065.474747,no,173.8585859,1065.474747,173.8585859,1065.474747
25,25,0.916350016,101,895.8613861,1207.118812,no,895.8613861,1207.118812,895.8613861,1207.118812
25,25,0.83214269,109,903.9357798,819.9724771,no,903.9357798,819.9724771,903.9357798,819.9724771
26,26,0.790577702,100,894.64,240.62,no,894.64,240.62,894.64,240.62
27,27,0.801541466,100,295.86,855.05,no,295.86,855.05,295.86,855.05
28,28,0.884640411,101,754.3762376,62.0990099,no,754.3762376,62.0990099,754.3762376,62.0990099
29,29,0.777236894,92,820.4021739,775.8913043,no,820.4021739,775.8913043,820.4021739,775.8913043
31,31,0.846205452,101,303.3267327,278.8514851,no,303.3267327,278.8514851,303.3267327,278.8514851
31,31,0.956197117,135,521.1851852,152.5925926,no,521.1851852,152.5925926,521.1851852,152.5925926
32,94,0.574239366,220.9365079,691.5641403,454.6629705,yes,691.0486726,457.6415929,691.8902439,448.9512195
36,36,0.681970689,106,652.9433962,1210.150943,no,652.9433962,1210.150943,652.9433962,1210.150943
36,36,0.8302697,102,998.5490196,755.9705882,no,998.5490196,755.9705882,998.5490196,755.9705882
37,38,0.840758982,95.5,595.6078753,517.4343724,yes,594.3478261,528.4347826,596.8679245,506.4339623
39,39,0.536749587,124,588.6854839,5.306451613,no,588.6854839,5.306451613,588.6854839,5.306451613
40,40,0.840267728,108,848.9907407,461.3055556,no,848.9907407,461.3055556,848.9907407,461.3055556
41,41,0.732527459,103,1045.339806,1256.932039,no,1045.339806,1256.932039,1045.339806,1256.932039
42,50,0.72090421,86.4,769.8817503,302.7349811,yes,768.3070175,302.9736842,773.7226891,305.4033613
