Cell Number,Frame,Vertical Position,Horizontal Position
0,1,44.73743017,851.7765363
1,1,156.9708333,202.9791667
2,1,154.4248366,732.8823529
3,1,174.3518519,293.1419753
4,1,334.8210526,59.90526316
5,1,366.2571429,314.5183673
6,1,367.7471264,1083.8659
7,1,452.6213992,1152.522634
8,1,455.416,272.256
9,1,454.2359551,824.8314607
10,1,496.3176471,347.254902
11,1,578.0166667,252.61
12,1,635.0503876,59.59302326
13,1,646.6216216,710.4099099
14,1,655.2472325,1107.276753
15,1,746.5244161,1285.118896
16,1,761.8027523,23.02752294
17,1,771.0989811,89.47452693
18,1,818.7892562,905.572314
19,1,827.7746032,270.5015873
20,1,870.6044444,1313.626667
21,1,884.8081633,226.3591837
22,1,903.6796117,556.3333333
23,1,911.715847,910.6721311
24,1,951.4903475,307.9305019
25,1,1012.858407,296.3672566
26,1,1017.47139,579.599455
27,1,1047.588235,1286.294118
28,1,793.7142857,1073.285714
0,2,44.81339713,850.5358852
29,2,70.55555556,437.1018519
1,2,157.0088496,202.7433628
2,2,156.828125,730.546875
3,2,174.6891192,292.119171
5,2,366.3755274,314.5780591
6,2,367.0539419,1083.6639
7,2,453.6380952,1147.780952
8,2,455.2984496,272.003876
9,2,452.6625,828.55
10,2,496.351145,346.8053435
11,2,576.4571429,244.2964286
12,2,636.0422535,59.77112676
13,2,646.5971223,709.5323741
14,2,655.5437262,1107.376426
15,2,746.5076628,1285.14751
16,2,761.5826087,22.74782609
17,2,769.5771605,89.98919753
18,2,820.121673,903.0304183
19,2,827.8557047,270.4228188
20,2,871.093633,1313.898876
30,2,871.2994012,812.0479042
21,2,884.6964981,224.9688716
22,2,904.48,554.6369231
23,2,913.2030075,909.5714286
24,2,952.103139,289.5919283
25,2,1012.609649,293.9298246
26,2,1022.158088,580.0588235
0,3,45.52380952,851.2142857
1,3,157.025974,203.0606061
31,3,154.8363636,871.2363636
3,3,175.2516129,291.8774194
32,3,183.5277778,866.5694444
5,3,366.5616438,313.4977169
33,3,438.7231405,924.4256198
7,3,454.175,1144.895
8,3,455.5967742,271.7298387
34,3,460.6744186,963.9883721
10,3,496.5095785,347.1992337
35,3,624.5938697,155.5478927
12,3,635.3625,59.50833333
36,3,643.0526316,181.5736842
13,3,646.3246269,709.2052239
14,3,656.6406926,1106.112554
17,3,769.876947,89.66510903
37,3,786.4334601,1080.338403
18,3,820.031746,902.7918871
19,3,822.8798587,254.7809187
30,3,872.1315789,809.3026316
21,3,884.3616236,223.6826568
22,3,904.9868421,554.2763158
24,3,952.6596639,282.0294118
25,3,1011.615044,291.8584071
26,3,1022.610497,572.6546961
0,4,45.30729167,850.1302083
29,4,69.58653846,438.6201923
1,4,156.9404255,202.9702128
2,4,155.1060606,732.5606061
3,4,175.3235294,291.372549
4,4,333.9756098,56.80487805
5,4,366.8608247,313.0927835
6,4,367.9776119,1083.656716
7,4,454.2826087,1142.791304
8,4,456.3055556,271.3055556
10,4,496.7175573,347.2328244
11,4,575.3745704,221.9037801
12,4,635.0954357,59.95020747
13,4,646.5650407,707.8495935
14,4,656.580786,1105.724891
15,4,746.4672897,1285.84486
16,4,762.9752066,22.61983471
17,4,769.8107667,89.2903752
18,4,820.5769231,902.7826923
19,4,823.7250859,254.0790378
30,4,868.315,808.27
20,4,870.7568627,1314.039216
21,4,884.3107143,223.1214286
22,4,904.6485623,554.1086262
23,4,913.6770833,906.8020833
24,4,952.524,280.212
25,4,1011.441065,291.0988593
38,4,1028.696078,558.2401961
27,4,1047.448276,1278.224138
0,5,45.08379888,850.9944134
29,5,69.98275862,436.5172414
1,5,157.1008403,202.9117647
3,5,175.364486,291.2523364
32,5,182.60181,866.6289593
5,5,366.1756757,313.1036036
33,5,438.8360656,924.3032787
7,5,454.1737288,1141.800847
8,5,457.5365854,269.0325203
34,5,459.8163265,962.170068
11,5,575.0524476,216.9545455
35,5,625.1213389,155.4811715
12,5,636.8207171,60.07569721
36,5,642.9136364,180.0909091
15,5,748.2668113,1286.978308
16,5,763.1526104,22.34538153
17,5,769.6271478,88.34536082
37,5,786.4390244,1079.808943
39,5,801.8,1066.777273
18,5,820.2312139,899.539499
21,5,883.9322709,222.4621514
22,5,904.9836066,554.0590164
24,5,952.9358974,274.3717949
25,5,1011.656934,290.6313869
38,5,1026.986957,548.526087
31,5,151.2727273,874.9090909
31,5,151.2727273,874.9090909
0,6,45.53676471,851.8235294
29,6,69.17730496,435.3546099
1,6,156.9515419,202.6740088
2,6,154.8161765,732.5441176
3,6,175.4587156,290.3577982
4,6,333.8297872,56.40425532
5,6,366.0502283,312.8630137
6,6,367.921875,1082.488281
7,6,453.9319149,1140.621277
8,6,457.7631579,267.2706767
10,6,496.4396887,347.4280156
11,6,576.1104101,204.1577287
12,6,635.4453782,60.32773109
13,6,645.793578,706.5733945
15,6,748.2890995,1288.227488
16,6,763.1735537,22.30991736
17,6,769.5393939,89.68333333
40,6,793.5705765,1073.467197
18,6,820.7309942,898.1364522
19,6,823.8184713,250.8216561
30,6,866.9517544,799.6754386
20,6,872.2954545,1313.401515
21,6,883.9928571,219.7
22,6,904.7947883,553.7296417
23,6,912.6567164,905.0671642
24,6,952.9159292,257.9646018
25,6,1011.511278,290.1015038
38,6,1027.558621,547.6448276
27,6,1046.969231,1278.138462
0,7,46,850.864
29,7,73.18666667,430.76
1,7,156.9906542,202.4345794
2,7,155,732.0416667
3,7,175.7357513,290.1813472
4,7,335.3,55.71428571
5,7,364.8728814,313.1737288
6,7,366.9834711,1083.086777
7,7,453.5679012,1135.304527
8,7,457.4898785,263.1417004
10,7,496.5318352,347.5730337
11,7,575.6257669,192.7423313
12,7,636.3032787,60.08196721
13,7,645.3434783,705.7695652
15,7,748.6043165,1287.776978
16,7,763.7965368,22.35930736
17,7,769.5157233,89.38522013
40,7,793.5461394,1072.864407
19,7,824.1447368,250.5986842
20,7,872.8834586,1312.733083
21,7,883.4160839,216.9825175
30,7,874.3636364,792.5
22,7,905.0197368,553.6776316
23,7,913.6133333,902.8
24,7,951.2288136,249.6101695
25,7,1011.74502,288.4701195
38,7,1028.925258,540.5618557
0,8,46.12195122,850.2845528
29,8,72.70833333,429.8333333
1,8,156.4880952,202.1607143
2,8,154.6636364,731.9636364
5,8,365.340708,313.0044248
6,8,366.9565217,1083
8,8,457.3319502,262.3900415
7,8,455.1193182,1132.403409
10,8,496.0039841,347.5378486
11,8,576.1236264,184.989011
12,8,635.9951923,59.84134615
13,8,645.2403433,705.5407725
41,8,746.844358,1295.093385
15,8,751.7337662,1276.448052
37,8,788.1932203,1079.830508
39,8,799.6097561,1062.231707
19,8,824.0833333,250.6025641
18,8,822.5555556,901.8888889
30,8,869.0982659,787.0982659
20,8,873.0923077,1312.765385
21,8,883.8373702,216.0103806
22,8,904.4294479,553.3588957
23,8,912.2989691,900.6701031
25,8,1011.120172,286.9313305
36,8,642.4444444,178.4444444
0,9,45.33333333,851.1304348
1,9,156.9055556,202.5722222
2,9,154.1111111,727.8
3,9,178.462963,286.5185185
4,9,333.9875,57.95
5,9,365.6086957,311.5072464
6,9,368.0688406,1082.057971
7,9,454.861244,1123.272727
8,9,456.8828125,261.1171875
10,9,496.0354331,347.7598425
11,9,576.0985401,175.1167883
12,9,637.5955882,60.72794118
13,9,644.8657407,705.6296296
41,9,746.8110236,1295.267717
15,9,750.7602041,1276.831633
16,9,764.2511211,21.80717489
17,9,769.9548387,89.30806452
42,9,766.9761905,664.1111111
40,9,793.3633094,1071.802158
18,9,822.0458333,890.9916667
19,9,824.4087838,249.6554054
30,9,866.5344828,778.4051724
20,9,873.9257813,1312.574219
21,9,884.3741497,214.3367347
22,9,904.7876923,553.4584615
23,9,913.6868687,895.5353535
25,9,1010.944444,285.6666667
38,9,1028.735358,540.9175705
36,9,642.3,178.4
0,10,47,850.3628319
2,10,153.8444444,727.8
3,10,176.2151899,287.4683544
5,10,366.0947368,311.6789474
6,10,367.8358209,1082.141791
8,10,456.00369,259.195572
7,10,454.7435897,1117.74359
10,10,496.0079051,347.6600791
12,10,636.2238267,60.62093863
13,10,644.78125,705.375
14,10,656.9649682,1095.461783
18,10,824.4745098,890.8431373
19,10,824.35625,248.196875
20,10,875.0368852,1311.032787
21,10,884.4212329,213.5034247
22,10,909.8834081,554.8475336
23,10,910.8412698,891.9312169
43,10,950.4136691,214.2625899
25,10,1014.19469,283.6371681
38,10,1027.311258,539.2119205
27,10,1045.833333,1278.875
41,10,748.8461538,1287.615385
0,11,47,853.4583333
1,11,156.6595745,201.9148936
2,11,153.9361702,727.8723404
5,11,364.7835498,311.0519481
6,11,368.615917,1081.425606
8,11,454.1343874,255.0948617
7,11,455.8534483,1115.189655
10,11,496.0491803,347.692623
12,11,636.1917808,60.11872146
13,11,644.5874439,704.9058296
14,11,657.8825503,1095.030201
16,11,764.6356589,20.2751938
17,11,770.2344262,88.4
40,11,793.369403,1071.690299
18,11,819.487069,886.4568966
19,11,824.4873418,247.9651899
20,11,874.972973,1309.92278
21,11,884.5429553,212.9828179
22,11,908.3825503,551.5469799
23,11,911.943662,888.084507
43,11,950.0438596,207.2149123
25,11,1008.511111,281.3333333
38,11,1027.053763,538.6817204
0,12,48,853.3191489
2,12,154.4632353,731.7426471
1,12,158.8064516,201.483871
3,12,177.1530612,287.4183673
4,12,333.4918033,55.57377049
5,12,364.8518519,310.3868313
6,12,368.7875817,1081.133987
8,12,452.8604651,253.3488372
7,12,455.0452489,1111.520362
10,12,496.0517928,348.0517928
12,12,636.9673913,60.47101449
13,12,644.1491228,704.6008772
14,12,657.7272727,1096.021818
40,12,793.4532374,1071.079137
18,12,821.0631579,884.2666667
19,12,824.5924765,247.2288401
44,12,863.3841808,742.0282486
20,12,874.9343629,1309.366795
21,12,884.8215488,213.013468
22,12,908.5148515,550.8910891
23,12,912.6102941,886.2058824
43,12,950.6360424,199.7667845
25,12,1008.607143,280.8333333
38,12,1026.947479,537.6680672
0,13,48.5915493,851.8591549
1,13,156.6666667,201.3666667
2,13,154.7631579,731.3947368
4,13,334,55.13636364
5,13,366.0487013,310.3993506
6,13,369.0836013,1081.154341
8,13,453.3820225,252.2359551
7,13,454.8477157,1104.020305
10,13,495.9612403,348.0155039
45,13,576.256705,136.5900383
12,13,636.8657407,60.125
13,13,644.0606061,704.4112554
14,13,656.5255973,1092.511945
40,13,793.3249551,1070.798923
18,13,820.3962963,884.1444444
19,13,825.0918033,247.8131148
46,13,856.712,735.376
20,13,874.8339623,1308.720755
21,13,884.781362,212.0752688
23,13,910.9096045,885.519774
22,13,911.4095745,550.8351064
43,13,952.2177778,186.7733333
25,13,1008.552817,279.3626761
38,13,1026.321277,537.587234
0,14,49.01960784,852.2941176
2,14,154.7798165,731.3853211
1,14,161.1625,201.3375
3,14,175.2072072,286.4954955
4,14,334.4444444,55.53703704
5,14,366.1928571,309.0071429
6,14,368.6900958,1080.824281
8,14,453.5418182,251.0436364
7,14,455.0469484,1101.835681
10,14,496.1568627,347.945098
45,14,575.633452,132.3345196
12,14,637.3103448,60.18773946
13,14,643.8201754,704.2938596
14,14,656.4647887,1092.274648
40,14,793.1107011,1071.238007
18,14,822.2530864,882.9135802
19,14,825.3006536,247.751634
46,14,861.223301,728.6504854
20,14,875.3103448,1307.835249
21,14,885.4885246,210.9344262
22,14,909.5419355,546.3967742
23,14,912.0641026,882.5320513
43,14,952.6139706,176.6875
25,14,1009.329365,276.9722222
38,14,1023.694377,534.5305623
0,15,48.71428571,851.6428571
1,15,157.3759398,200.3684211
3,15,173.8076923,285.1634615
4,15,333.1777778,54.53333333
5,15,364.4189189,308.6891892
6,15,368.980456,1080.456026
8,15,453.3639706,250.9889706
7,15,455.6763006,1098.104046
10,15,496.0819672,347.9754098
45,15,577.2981366,122.8198758
12,15,638.4296875,59.19921875
13,15,643.5758929,704.3705357
14,15,656.1993127,1090.546392
16,15,763.0948617,16.64426877
17,15,772.2376374,84.9217033
40,15,793.1905626,1070.53176
18,15,822.3666667,882.2433333
19,15,825.25,247.4188312
