Cell Number,Frame,Vertical Position,Horizontal Position
0,1,100.8888889,1307.222222
1,1,186.6153846,114.1538462
2,1,193.75,1119.25
3,1,239.5,1161.1
4,1,256.7777778,580.4444444
5,1,276.4444444,1229.222222
6,1,296,465
7,1,343.3636364,62.18181818
8,1,353.7,214.3
9,1,421.7272727,777.0909091
10,1,472.9090909,87.36363636
11,1,482.3333333,298.5555556
12,1,495.4444444,1226.111111
13,1,531.9166667,376.5
14,1,547.5,964.0833333
15,1,556.3636364,1057.454545
16,1,561.7272727,689.3636364
17,1,587.2727273,845.3636364
18,1,609.5555556,545
19,1,677,422
20,1,687.7692308,1263.230769
21,1,704,1096.25
22,1,723,1033.416667
23,1,745.0833333,207.8333333
24,1,765.5,605.3
25,1,785.5833333,520.4166667
26,1,805.0769231,970.4615385
27,1,807.4666667,1160.733333
28,1,816.6363636,19.09090909
29,1,831.7272727,429.9090909
30,1,833.0909091,688.6363636
31,1,844,1268
32,1,886,1092.636364
33,1,909,1027.454545
34,1,940,501.1818182
35,1,950.5833333,765.4166667
36,1,964.2307692,924.2307692
37,1,1005.615385,954.0769231
38,1,1017.307692,199
39,1,1020.727273,493
40,1,1034.25,1263.583333
41,1,1038.272727,814.0909091
42,2,95.88888889,171.4444444
0,2,99.69230769,1309.846154
43,2,135.4444444,495.5555556
44,2,160.6363636,1313.818182
1,2,187.4545455,114.3636364
3,2,240.4545455,1162.181818
5,2,275.2,1224.5
6,2,295.3333333,465.9166667
7,2,342.8333333,60.16666667
8,2,353.4,213.3
9,2,422.4285714,775.2857143
10,2,473.5384615,87.23076923
11,2,482.0769231,298.4615385
12,2,494.6666667,1227
13,2,531.5714286,376.7857143
45,2,529.75,839.625
14,2,546.6666667,962.8333333
15,2,555.4,1056.3
16,2,563.1666667,689.75
46,2,584.25,336.6666667
17,2,586.9333333,845.2666667
18,2,608.6666667,543.8888889
47,2,624.4444444,102.2222222
19,2,676.2727273,421.3636364
20,2,686,1263
21,2,705.3076923,1096.230769
22,2,727.5833333,1028.75
23,2,745.9166667,207.25
24,2,762.6666667,605.1666667
25,2,783.3846154,518.6153846
26,2,808.2727273,971.4545455
27,2,809.6923077,1160.538462
28,2,815.6,21.4
28,2,819.1666667,5.666666667
30,2,836,683.4615385
31,2,843.8333333,1264
32,2,889,1089.818182
48,2,886.5714286,266.2857143
